owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
Environmental Protection Agency,Environmental Protection Agency,FY2023P02,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0001,CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),41.0,"Grants, subsidies, and contributions",D,Q,,-51000.00,,,,,,,99T56223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-09
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),41.0,"Grants, subsidies, and contributions",D,Q,,1000000.00,,,,,,,147021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),41.0,"Grants, subsidies, and contributions",D,Q,,400000.00,,,,,,,311923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0003,CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),41.0,"Grants, subsidies, and contributions",D,Q,,725050.00,,,,,,,910522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-1811.60,,,,,11,EPD15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-183.94,,,,,11,EPD15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P07,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-15717.36,,,,,12,EPD15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-29
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-2059.20,,,,,13,EPD15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-197574.45,,,,,13,EPD15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
Environmental Protection Agency,Environmental Protection Agency,FY2023P06,068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,0004,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41.0,"Grants, subsidies, and contributions",D,Q,,-1898.22,,,,,8,EPD15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15
