"TRI Facility ID","Facility Name","Address","Chemical Name","Industry","Year","Prior Year Release *","Current Year Release *","Percent Change","Pollution Prevention Information (Activity Codes/Text/[Reduction])","P2 Report URL"
"83338JRMCH47W10","AGROPUR (AGROPUR INC)","547 W NEZ PERCE AVE, JEROME,ID 83338","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311513: Cheese Manufacturing","2020","228,660.00","0","-100","Source Reduction: W52: Modified equipment, layout, or piping[-15-24%] - added additional wastewater treatment Methods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - capital project to increase treatment","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=83338JRMCH47W10&ChemicalId=N511&ReportingYear=2020&DocCtrlNum=1320219241888&Opt=0"
"54840BRNTT11631","BURNETT DAIRY COOPERATIVE CHEESE PLANT (BURNETT DAIRY COOPERATIVE)","11631 STATE RD 70, GRANTSBURG,WI 54840","Nitric acid","311513: Cheese Manufacturing","2013","150,485.00",".80","-100","Source Reduction: W52: Modified equipment, layout, or piping - Upgraded Equipment design, technology based engineering.Source Reduction: W53: Use of a differant process catalyst - Removed a high energy cost unit from service and replaced with state of the art equipment.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=54840BRNTT11631&ChemicalId=0007697372&ReportingYear=2013&DocCtrlNum=1313212390696&Opt=0"
"54840BRNTT11631","BURNETT DAIRY COOPERATIVE CHEESE PLANT (BURNETT DAIRY COOPERATIVE)","11631 STATE RD 70, GRANTSBURG,WI 54840","Nitric acid","311513: Cheese Manufacturing","2014","118,500.80",".35","-100","Source Reduction: W15: Introduced an in-line product quality monitoring or other process analysis system[-5-14%]Source Reduction: W52: Modified equipment, layout, or piping[-15-24%]  Source Reduction: Source Reduction  - streamlined wash/rinse cycles, created/lowered wash/rinse cycles by utilizing in-line monitoring equipment.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=54840BRNTT11631&ChemicalId=0007697372&ReportingYear=2014&DocCtrlNum=1314212390710&Opt=0"
"98944DRGLD400AL","DARIGOLD - SUNNYSIDE (NORTHWEST DAIRY ASSOC)","400 ALEXANDER RD, SUNNYSIDE,WA 98944","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311513: Cheese Manufacturing","2014","82,238.40","0","-100","Source Reduction: W50: Optimized reaction conditions or otherwise increased efficiency of synthesis[-0-4%]  Source Reduction: Chemical improvement program focused on efficiencies reduced Nitrate production from nitric acid usage.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=98944DRGLD400AL&ChemicalId=N511&ReportingYear=2014&DocCtrlNum=1314212942270&Opt=0"
"33440STHRN755CO","SOUTHERN GARDENS CITRUS PROCESSING CORP (US SUGAR CORP)","1820 CR 833, CLEWISTON,FL 33440","Methanol","311421: Fruit and Vegetable Canning","2020","78,659.00","0","-100","Source Reduction: W58: Other process modifications - Facility did not process citrus fruits in 2020 and has no plans to process citrus fruits in the future. Methods to Identify SR Opportunities: T11 : OTHER - There are no future plans to process citrus fruits at the facility.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=33440STHRN755CO&ChemicalId=0000067561&ReportingYear=2020&DocCtrlNum=1320218642306&Opt=0"
"00705TRCSNRD14K","TO-RICOS LTD (JBS USA FOOD CO)","RD 14 KM 48 BO ASOMANTE, AIBONITO,PR 00705","Peracetic acid","311615: Poultry Processing","2017","36,521.10","0","-100","Source Reduction: USED AS A SANITIZING AGENT, ORIENT PERSONNEL TO GMPs USING THIS CHEMICAL","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=00705TRCSNRD14K&ChemicalId=0000079210&ReportingYear=2017&DocCtrlNum=1317218523571&Opt=0"
"93454LPCFD732SH","THE PICTSWEET CO - SANTA MARIA CA PLANT (NA)","732 S HANSON WAY, SANTA MARIA,CA 93458","Ammonia","311411: Frozen Fruit, Juice, and Vegetable Manufacturing","2013","21,250.00","0","-100","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or proceduresSource Reduction: W36: Implemented inspection or monitoring program of potential spill or leak sources","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=93454LPCFD732SH&ChemicalId=0007664417&ReportingYear=2013&DocCtrlNum=1313211111810&Opt=0"
"00705TRCSNRD14K","TO-RICOS LTD (JBS USA FOOD CO)","RD 14 KM 48 BO ASOMANTE, AIBONITO,PR 00705","Peracetic acid","311615: Poultry Processing","2019","19,760.00","0","-100","Source Reduction: W15: Introduced an in-line product quality monitoring or other process analysis system[-0-4%] - Improve monitoring and application procedures","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=00705TRCSNRD14K&ChemicalId=0000079210&ReportingYear=2019&DocCtrlNum=1319218468458&Opt=0"
"68802MNFRT555SO","SWIFT BEEF CO (JBS USA FOOD CO)","555 S STUHR RD, GRAND ISLAND,NE 68801","Peracetic acid","311611: Animal (except Poultry) Slaughtering","2016","19,148.90","0","-100","Source Reduction: W51: Instituted recirculation within a process[-5-14%] - implemented a recycle/reuse process at the end of the calendar year 2016 to reduce the amount of usage going forward. Methods to Identify SR Opportunities: T06 : EMPLOYEE RECOMMENDATION (UNDER A FORMAL COMPANY PROGRAM) - process was designed during a water conservation initiative, and cost reduction program","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=68802MNFRT555SO&ChemicalId=0000079210&ReportingYear=2016&DocCtrlNum=1316215588575&Opt=0"
"50009MRZTT838TH","MARZETTI FROZEN PASTA (T. MARZETTI CO)","803 8TH ST SW, ALTOONA,IA 50009","Ammonia","311412: Frozen Specialty Food Manufacturing","2020","18,365.00","0","-100","Source Reduction: W39: Other spill or leak prevention[-0-4%] - Upgrades to controls in 2019 and replacement of compressor reduced opportunity for releases and ability to identify potential need to balance the system. Methods to Identify SR Opportunities: T11 : OTHER - PSM program investigationsMethods to Identify SR Opportunities: T03 : MATERIALS BALANCE AUDITS - Identification that no additional ammonia was purchased.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=50009MRZTT838TH&ChemicalId=0007664417&ReportingYear=2020&DocCtrlNum=1320219001120&Opt=0"
"95351FSTRF415KA","CRYSTAL CREAMERY INC. (CRYSTAL CREAMERY INC.)","415 KANSAS AVE, MODESTO,CA 95351","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2017","14,381.00","0","-100","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures[-15-24%]  Other Environmental Practices: Waste Treatment  - Operation of the on-site wastewater treatment system has been automated by a third-party vendor.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=95351FSTRF415KA&ChemicalId=N511&ReportingYear=2017&DocCtrlNum=1317216279404&Opt=0"
"2383WSBRDP159SA","SABRA DIPPING CO LLC (NA)","15900 SABRA WAY, COLONIAL HEIGHTS,VA 23834","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311999: All Other Miscellaneous Food Manufacturing","2020","7,400.00","0","-100","Source Reduction: W71: Other cleaning and degreasing modifications[-50-99%] - Substituted cleaning chemical Methods to Identify SR Opportunities: T04 : PARTICIPATIVE TEAM MANAGEMENT - Substituted cleaning chemical","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=2383WSBRDP159SA&ChemicalId=N511&ReportingYear=2020&DocCtrlNum=1320219396835&Opt=0"
"71457CNGRBHWY1B","PILGRIM'S PRIDE CORP NATCHITOCHES PROCESSING PLANT (JBS USA FOOD CO)","7088 HWY S BY PASS, NATCHITOCHES,LA 71457","Ammonia","311615: Poultry Processing","2021","6,561.00","0","-100","Source Reduction: S43: Introduced in-line product quality monitoring or other process analysis system Methods to Identify SR Opportunities: T03 : MATERIALS BALANCE AUDITS - Keeping tracks of Orders","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=71457CNGRBHWY1B&ChemicalId=0007664417&ReportingYear=2021&DocCtrlNum=1321219642840&Opt=0"
"68131RBRTS2901C","HILAND DAIRY CO (NA)","2901 CUMING ST, OMAHA,NE 68131","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2014","4,649.10","0","-100","Source Reduction: W51: Instituted recirculation within a process[-5-14%]Source Reduction: W52: Modified equipment, layout, or piping[-5-14%]","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=68131RBRTS2901C&ChemicalId=N511&ReportingYear=2014&DocCtrlNum=1314212551143&Opt=0"
"67501JCKSN2600E","JACKSON DAIRY (THE KROGER CO)","2600 E 4TH AVE, HUTCHINSON,KS 67501","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311511: Fluid Milk Manufacturing","2018","3,958.60","0","-100","Source Reduction: W14: Changed production schedule to minimize equipment and feedstock changeovers - longer production runs to decrease the amount of nitric acid used which results in less nitrates.  Other Environmental Practices: Waste Treatment  - We are increasing run times when possible which reduces the frequency of sanitation and reduces the use of chemicals.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=67501JCKSN2600E&ChemicalId=N511&ReportingYear=2018&DocCtrlNum=1318217413741&Opt=0"
"75061FRTLY900NO","FRITO-LAY (PEPSICO INC)","701 N WILDWOOD DR, IRVING,TX 75061","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311919: Other Snack Food Manufacturing","2018","3,125.90","0","-100","Source Reduction: Ways P2 Was Incorporated in Original Process Design  - Our facility conducts annual reviews of our chemical inventory to identify product substitution opportunities on chemicals that pose a risk to the environment.Source Reduction: Source Reduction  - The facility uses an automatic system to measure the amount of chemical needed for the assigned job task.Other Environmental Practices: Recycling  - The facility is currently recycling 95% of our total waste streams.  The facility works with our waste hauler to conduct dump dives in an effort to identify opportunities for reducing our waste to landfill numbers.Other Environmental Practices: General Environmental Management  - The facility provides annual pollution prevention, hazardous waste and waste awareness training to all employees as well as a quarterly progress report on the current status of our progress as we continue to look for ways to reduce our impact and track our performance.Source Reduction: Methods for Identifying Pollution Prevention Opportunities  - Training, daily site walks and an employee suggestion bow to allow employees a tool for sharing ideas on ways to improve our processes are some examples of what we do as a site.","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=75061FRTLY900NO&ChemicalId=N511&ReportingYear=2018&DocCtrlNum=1318217137393&Opt=0"
"65340CNGRF253WE","CONAGRA FOODS PACKAGED FOODS LLC  MARSHALL (CONAGRA BRANDS)","200 BANQUET DR, MARSHALL,MO 65340","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","311412: Frozen Specialty Food Manufacturing","2021","3,014.00","0","-100","Source Reduction: S44: Other improvements to operating practices and training[-0-4%]","//enviro.epa.gov/enviro/P2_EF_Query.p2_report?FacilityId=65340CNGRF253WE&ChemicalId=N511&ReportingYear=2021&DocCtrlNum=1321219954411&Opt=0"
